Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.22222405005697,0.26047948518045,0.749482432075932,0,0,0,19.5954026422848,0.0706894969736693,0.000453806584174252,5.45956159159812E-07,0.224472521009215,-5.88183224643092E-08,0.194898420480141,0,0,0,0,0,0,package://panda_description/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://panda_description/meshes/base_link.STL,,装配体161-1/直线丝杠导轨-1;装配体161-1/直线丝杠导轨-4;装配体161-1/盖-4;装配体161-1/直线丝杠导轨-3;装配体161-1/盖-1;装配体161-1/直线丝杠导轨-2;装配体161-1/盖-3;装配体161-1/丝杠-4;装配体161-1/丝杠-1;装配体161-1/丝杠-2;装配体161-1/丝杠-3;装配体161-1/底座-1;装配体161-1/底盘-1;装配体161-1/盖-2;装配体161-1/机体-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l1,-0.0159999123716776,0.000737036465389251,0.0261570925915838,0,0,0,0.512324909923602,0.000107100908138004,-2.20668777896138E-10,4.49732110866214E-10,8.38648309010005E-05,2.6880003941817E-06,7.86994452918461E-05,0,0,0,0,0,0,package://panda_description/meshes/l1.STL,1,1,1,1,0,0,0,0,0,0,package://panda_description/meshes/l1.STL,,装配体156-1/滑块连接块-1;装配体156-1/U形块-1;装配体156-1/舵机1-1;装配体156-1/滑块-1,Origin_j1,Axis_j1,j1,prismatic,1.1026,-0.80953,0.2649,1.5708,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
l11,-0.0233000000000003,-0.038305456702832,0.000879463367713051,0,0,0,0.346974608756836,8.66399512887475E-05,3.24725100956478E-20,3.85561445682508E-20,7.91945845868074E-05,-5.18707927463093E-20,7.11734259202265E-05,0,0,0,0,0,0,package://panda_description/meshes/l11.STL,0.266666666666667,0.529411764705882,1,1,0,0,0,0,0,0,package://panda_description/meshes/l11.STL,,装配体155-1/舵机2与舵机1的U形连接块-1;装配体155-1/U形块-1;装配体155-1/舵机1-1,Origin_j11,Axis_j11,j11,continuous,-0.016,0.0199,0.055,0,0,1.5708,l1,-1,0,0,,,,,,,,,,,,
l111,0.026,-0.0760041259902766,0.0649874821212071,0,0,0,0.675776067601477,0.00243508708358432,1.19576912393884E-18,8.27103206755517E-19,0.00150990083615139,0.00115453599507958,0.00187296482245536,0,0,0,0,0,0,package://panda_description/meshes/l111.STL,1,1,1,1,0,0,0,0,0,0,package://panda_description/meshes/l111.STL,,大腿改进-6,Origin_j111,Axis_j111,j111,continuous,-0.0233,-0.055,0.0274,1.5708,1.5708,0,l11,-1,0,0,,,,,,,,,,,,
l1111,0.0254901816398352,-0.143524743603395,-0.0694046953395906,0,0,0,1.25572837218662,0.0112929247082815,2.17313539426166E-05,1.04994846003753E-05,0.0024380831661178,-0.00442427355366778,0.00916575076151428,0,0,0,0,0,0,package://panda_description/meshes/l1111.STL,1,1,1,1,0,0,0,0,0,0,package://panda_description/meshes/l1111.STL,,装配体162-2/小腿-1;装配体162-2/舵机1-1;装配体162-2/足端-1,Origin_j1111,Axis_j1111,j1111,continuous,0,-0.15201,0.12997,0,0,0,l111,-1,0,0,,,,,,,,,,,,
l2,0.0159999123717034,0.000737036465382368,0.0261570929046457,0,0,0,0.512324909923602,0.000107100908138004,2.20668777689084E-10,4.49732110869342E-10,8.38648309010005E-05,2.68799960581815E-06,7.86994452918462E-05,0,0,0,0,0,0,package://panda_description/meshes/l2.STL,0.247058823529412,0.525490196078431,1,1,0,0,0,0,0,0,package://panda_description/meshes/l2.STL,,装配体154-1/U形块-1;装配体154-1/舵机1-1;装配体154-1/滑块连接块-1;装配体154-1/滑块-1,Origin_j2,Axis_j2,j2,prismatic,1.3491,-0.80953,0.2649,1.5708,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
l21,-0.0233000000000007,-0.0427054567028338,8.88178419700125E-16,0,0,0,0.346974608756837,8.66399512887478E-05,2.88323459650592E-20,3.8481653410917E-20,7.91945845868078E-05,-2.74286155526889E-20,7.11734259202268E-05,0,0,0,0,0,0,package://panda_description/meshes/l21.STL,0.266666666666667,0.529411764705882,1,1,0,0,0,0,0,0,package://panda_description/meshes/l21.STL,,装配体153-1/舵机2与舵机1的U形连接块-1;装配体153-1/U形块-1;装配体153-1/舵机1-1,Origin_j21,Axis_j21,j21,continuous,0.0116,0.0199,0.055,0,0,1.5708,l2,-1,0,0,,,,,,,,,,,,
l211,0.0260000000000001,-0.0760041259902766,0.0649874821212069,0,0,0,0.675776067601477,0.00243508708358433,1.01068746188009E-18,9.40323553098713E-19,0.00150990083615139,0.00115453599507958,0.00187296482245536,0,0,0,0,0,0,package://panda_description/meshes/l211.STL,1,1,1,1,0,0,0,0,0,0,package://panda_description/meshes/l211.STL,,大腿改进-5,Origin_j211,Axis_j211,j211,continuous,-0.0233,-0.0594,0.0264,1.5708,1.5708,0,l21,-1,0,0,,,,,,,,,,,,
l2111,0.0254901816398352,-0.143524743603395,-0.069404695339591,0,0,0,1.25572837218662,0.0112929247082814,2.17313539426183E-05,1.04994846003753E-05,0.0024380831661178,-0.00442427355366777,0.00916575076151427,0,0,0,0,0,0,package://panda_description/meshes/l2111.STL,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0,0,0,0,0,package://panda_description/meshes/l2111.STL,,装配体162-1/舵机1-1;装配体162-1/小腿-1;装配体162-1/足端-1,Origin_j2111,Axis_j2111,j2111,continuous,0,-0.15201,0.12997,0,0,0,l211,-1,0,0,,,,,,,,,,,,
l3,-0.0160000876283128,0.000737036465387864,0.0261570929046675,0,0,0,0.512324909923603,0.000107100908138004,2.20668778111406E-10,4.49732111462578E-10,8.38648309010006E-05,2.68799960581818E-06,7.86994452918464E-05,0,0,0,0,0,0,package://panda_description/meshes/l3.STL,0.247058823529412,0.525490196078431,1,1,0,0,0,0,0,0,package://panda_description/meshes/l3.STL,,装配体159-1/U形块-1;装配体159-1/舵机1-1;装配体159-1/滑块连接块-1;装配体159-1/滑块-1,Origin_j3,Axis_j3,j3,prismatic,1.3491,-0.68953,0.2649,1.5708,0,-3.1416,base_link,-1,0,0,0,0,0,0,,,,,,,,
